"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Crm Cd","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","LOCATION","LAT","LON"
"230618530","12/2/2023 0:00","12/2/2023 0:00","1350","6","Hollywood","625","OTHER ASSAULT","18","M","H","6800    HOLLYWOOD                    BL","34.1016","-118.3387"
"230817627","12/2/2023 0:00","12/1/2023 0:00","1328","8","West LA","440","THEFT PLAIN - PETTY ($950 & UNDER)","38","M","W","12200    SAN VICENTE                  BL","34.0495","-118.4872"
"230414931","12/2/2023 0:00","12/1/2023 0:00","1300","4","Hollenbeck","510","VEHICLE - STOLEN","0","","","1200 S  BOYLE                        AV","34.0287","-118.2206"
"230516427","12/2/2023 0:00","12/1/2023 0:00","2250","5","Harbor","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0","M","H","800 S  GAFFEY                       ST","33.737","-118.2923"
"230125403","12/2/2023 0:00","11/30/2023 0:00","1900","1","Central","510","VEHICLE - STOLEN","0","","","500 E  7TH                          ST","34.0421","-118.2469"
"230320741","12/2/2023 0:00","12/2/2023 0:00","2000","3","Southwest","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","64","F","H","1900    BROWNING                     BL","34.0119","-118.3133"
"230516560","12/2/2023 0:00","11/29/2023 0:00","1200","5","Harbor","943","CRUELTY TO ANIMALS","0","X","X","1500    LAGOON                       AV","33.7931","-118.2681"
"230618538","12/2/2023 0:00","12/2/2023 0:00","100","6","Hollywood","210","ROBBERY","52","M","H","6500    HOLLYWOOD                    BL","34.1034","-118.3325"
"230125449","12/2/2023 0:00","12/1/2023 0:00","2330","1","Central","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","X","X","300 S  HOPE                         ST","34.0537","-118.2523"
"230320704","12/2/2023 0:00","12/1/2023 0:00","1821","3","Southwest","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","22","X","X","3500    LA CIENEGA                   BL","34.0242","-118.3722"
"230817621","12/2/2023 0:00","12/2/2023 0:00","1115","8","West LA","330","BURGLARY FROM VEHICLE","55","M","W","1200    STONER                       AV","34.0487","-118.4617"
"230516421","12/2/2023 0:00","12/2/2023 0:00","2130","5","Harbor","330","BURGLARY FROM VEHICLE","17","F","H","1600    247TH                        ST","33.801","-118.3054"
"230817602","12/2/2023 0:00","11/29/2023 0:00","1755","8","West LA","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0","X","X","11300 W  PICO                         BL","34.038","-118.4436"
"230717858","12/2/2023 0:00","12/2/2023 0:00","1245","7","Wilshire","439","FALSE POLICE REPORT","66","F","W","400 S  CLOVERDALE                   AV","34.0669","-118.3462"
"230516444","12/2/2023 0:00","12/2/2023 0:00","2130","5","Harbor","624","BATTERY - SIMPLE ASSAULT","76","M","H","800 W  F                            ST","33.7795","-118.2715"
"230320696","12/2/2023 0:00","12/2/2023 0:00","600","3","Southwest","354","THEFT OF IDENTITY","47","F","B","4100    EDGEHILL                     DR","34.01","-118.3304"
"230618648","12/2/2023 0:00","12/2/2023 0:00","1420","6","Hollywood","888","TRESPASSING","0","X","X","6800    HOLLYWOOD                    BL","34.1016","-118.3387"
"230414926","12/2/2023 0:00","12/1/2023 0:00","1430","4","Hollenbeck","510","VEHICLE - STOLEN","0","","","2600    MARENGO                      ST","34.0545","-118.1987"
"230320699","12/2/2023 0:00","12/1/2023 0:00","2230","3","Southwest","352","PICKPOCKET","49","F","W","600 W  JEFFERSON                    BL","34.0225","-118.2812"
"230221951","12/2/2023 0:00","10/7/2023 0:00","300","2","Rampart","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","28","F","W","1700 W  SUNSET                       BL","34.0772","-118.2585"
"230717868","12/2/2023 0:00","12/1/2023 0:00","830","7","Wilshire","310","BURGLARY","38","M","W","5100 W  20TH                         ST","34.0405","-118.3548"
"230320661","12/2/2023 0:00","12/1/2023 0:00","2010","3","Southwest","510","VEHICLE - STOLEN","0","","","4100    WALTON                       AV","34.0091","-118.2941"
"230125488","12/2/2023 0:00","9/1/2023 0:00","1200","1","Central","310","BURGLARY","33","F","H","1000 N  MAIN                         ST","34.0627","-118.2341"
"230221937","12/2/2023 0:00","10/6/2023 0:00","1220","2","Rampart","354","THEFT OF IDENTITY","51","F","H","2400 W  6TH                          ST","34.0612","-118.2785"
"230125439","12/2/2023 0:00","12/1/2023 0:00","1905","1","Central","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","39","M","W","900 W  7TH                          ST","34.0494","-118.2599"
"230320638","12/2/2023 0:00","10/4/2023 0:00","1219","3","Southwest","354","THEFT OF IDENTITY","45","M","B","3800 S  DUNSMUIR                     AV","34.0184","-118.3631"
"230125622","12/2/2023 0:00","12/2/2023 0:00","1720","1","Central","624","BATTERY - SIMPLE ASSAULT","40","M","H","1200 S  FIGUEROA                     ST","34.0431","-118.2692"
"230320700","12/2/2023 0:00","12/2/2023 0:00","611","3","Southwest","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","27","F","H","1600 W  39TH                         PL","34.0137","-118.3089"
"230801116","12/2/2023 0:00","12/2/2023 0:00","610","8","West LA","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","34","F","A","1300    BEVERLY GROVE                PL","34.0951","-118.4262"
