DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,LAT,LON
230222098,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1100,02,Rampart,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,B,600    WITMER                       ST,34.0555,-118.2656
231518516,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1945,15,N Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,H,5300    LANKERSHIM                   BL,34.172,-118.3789
231820542,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0100,18,Southeast,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",70,F,B,300 E  115TH                        ST,33.9301,-118.2696
231016759,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,0600,10,West Valley,354,THEFT OF IDENTITY,32,M,W,19200    SHERMAN                      WY,34.2012,-118.5445
230817755,12/04/2023 12:00:00 AM,11/16/2023 12:00:00 AM,0105,08,West LA,440,THEFT PLAIN - PETTY ($950 & UNDER),42,F,W,11600    MONTANA                      AV,34.0569,-118.4648
232117289,12/04/2023 12:00:00 AM,11/30/2023 12:00:00 AM,1900,21,Topanga,330,BURGLARY FROM VEHICLE,31,F,B,6100    NEVADA                       AV,34.1809,-118.6089
230125595,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,1400,01,Central,310,BURGLARY,0,X,X,100 E  7TH                          ST,34.0446,-118.2507
230415080,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,2210,04,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,23,F,H,1600    PLEASANT                     AV,34.0483,-118.2206
230618571,12/04/2023 12:00:00 AM,11/25/2023 12:00:00 AM,1745,06,Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",61,M,W,2400    CARMEN CREST                 DR,34.1143,-118.3458
230320749,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0100,03,Southwest,510,VEHICLE - STOLEN,0,,,3800    WISCONSIN                    ST,34.017,-118.2931
230618565,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,0300,06,Hollywood,480,BIKE - STOLEN,27,M,W,1300 N  MARTEL                       AV,34.0944,-118.3507
230222099,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1400,02,Rampart,350,"THEFT, PERSON",28,M,O,ALVARADO,34.0579,-118.2759
231820317,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2330,18,Southeast,330,BURGLARY FROM VEHICLE,33,M,B,1100 E  107TH                        ST,33.9393,-118.2566
232018721,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,1200,20,Olympic,330,BURGLARY FROM VEHICLE,34,M,B,WESTERN,34.0535,-118.3091
231421309,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0305,14,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,9000    VENICE                       BL,34.0282,-118.3903
231016781,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1820,10,West Valley,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,M,H,19300    VICTORY                      BL,34.1866,-118.5535
231224440,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,1400,12,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),32,F,B,2000 W  80TH                         ST,33.9664,-118.3134
231421391,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0815,14,Pacific,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",25,F,O,4TH,33.9953,-118.4729
231917406,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1120,19,Mission,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,9,M,H,12800    WATT                         LN,34.3027,-118.4242
231614671,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1930,16,Foothill,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,F,W,13000    WEIDNER                      ST,34.2777,-118.4163
231820335,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1720,18,Southeast,624,BATTERY - SIMPLE ASSAULT,45,M,H,800 W  169TH                        ST,33.8781,-118.2895
230125599,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1200,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,47,M,H,1500 S  OLIVE                        ST,34.0359,-118.2648
232018778,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1545,20,Olympic,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,600 S  OXFORD                       AV,34.0582,-118.3078
231116463,12/04/2023 12:00:00 AM,11/25/2023 12:00:00 AM,1200,11,Northeast,354,THEFT OF IDENTITY,25,F,H,5200    SAN RAFAEL                   AV,34.113,-118.2044
231116536,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1900,11,Northeast,330,BURGLARY FROM VEHICLE,38,F,H,2300    MAYBERRY                     ST,34.0836,-118.2628
232018898,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1530,20,Olympic,624,BATTERY - SIMPLE ASSAULT,29,F,H,900 S  NEW HAMPSHIRE                AV,34.056,-118.2929
230222104,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1000,02,Rampart,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,15,F,H,300    DOUGLAS                      ST,34.0648,-118.2583
230222066,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1100,02,Rampart,330,BURGLARY FROM VEHICLE,36,M,W,BENTON                       WY,34.0706,-118.2772
232019023,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2200,20,Olympic,888,TRESPASSING,0,,,1100    ARAPAHOE                     ST,34.0508,-118.2854
231224289,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,0728,12,77th Street,354,THEFT OF IDENTITY,46,F,O,6700    BRYNHURST                    AV,33.9781,-118.3338
231718698,12/04/2023 12:00:00 AM,11/09/2023 12:00:00 AM,0130,17,Devonshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,21300    DEVONSHIRE                   ST,34.2572,-118.5951
230901162,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0130,09,Van Nuys,210,ROBBERY,26,M,H,15100    RUNNYMEDE                    ST,34.2057,-118.4618
230222091,12/04/2023 12:00:00 AM,10/29/2023 12:00:00 AM,1520,02,Rampart,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,600 N  DILLON                       ST,34.0786,-118.2788
231614672,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1800,16,Foothill,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),41,M,H,7900    RIVERTON                     AV,34.2139,-118.366
230320802,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1255,03,Southwest,354,THEFT OF IDENTITY,44,F,B,3800 S  HOBART                       BL,34.0173,-118.3078
230320754,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,0600,03,Southwest,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,2700    RAYMOND                      AV,34.0309,-118.298
231116438,12/04/2023 12:00:00 AM,11/29/2023 12:00:00 AM,2225,11,Northeast,330,BURGLARY FROM VEHICLE,50,M,W,1700    TALMADGE                     ST,34.1018,-118.2831
230415037,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,0030,04,Hollenbeck,330,BURGLARY FROM VEHICLE,61,M,H,3100    ALTURA                       ST,34.0755,-118.2092
231224261,12/04/2023 12:00:00 AM,11/30/2023 12:00:00 AM,2200,12,77th Street,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36,F,B,54TH,33.9932,-118.3002
231614669,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1930,16,Foothill,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,7,M,H,13000    WEIDNER                      ST,34.2777,-118.4163
231917685,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,2000,19,Mission,320,"BURGLARY, ATTEMPTED",0,,,13000    BORDEN                       AV,34.3061,-118.4414
231718826,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1547,17,Devonshire,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,X,9300    TAMPA                        AV,34.244,-118.5583
231917380,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1300,19,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,M,H,15500    PARTHENIA                    ST,34.2283,-118.4699
230125540,12/04/2023 12:00:00 AM,11/30/2023 12:00:00 AM,2130,01,Central,330,BURGLARY FROM VEHICLE,40,M,H,100 S  SAN PEDRO                    ST,34.0504,-118.2409
230125539,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,0900,01,Central,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,,,400 S  FIGUEROA                     ST,34.0542,-118.2566
231718634,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0145,17,Devonshire,510,VEHICLE - STOLEN,0,,,9900    DE SOTO                      AV,34.25,-118.5886
231321543,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,2000,13,Newton,510,VEHICLE - STOLEN,0,,,1300    WILSON                       ST,34.0257,-118.2349
231820363,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1300,18,Southeast,624,BATTERY - SIMPLE ASSAULT,58,F,B,1700 E  CENTURY                      BL,33.9456,-118.243
230222053,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1500,02,Rampart,510,VEHICLE - STOLEN,0,,,LUCAS,34.0598,-118.2607
230320777,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,0001,03,Southwest,354,THEFT OF IDENTITY,43,F,B,3900    COCO                         AV,34.0154,-118.3497
231820338,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1700,18,Southeast,510,VEHICLE - STOLEN,0,,,BROADWAY,33.9367,-118.2871
