crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
230616808,2023-10-21,2023-10-14,1850,6,Hollywood,946,OTHER MISCELLANEOUS CRIME,32,M,O,HOLLYWOOD                    BL,34.1016,-118.3489
230616792,2023-10-21,2023-10-19,2245,6,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,M,H,HOLLYWOOD,34.1016,-118.3361
230318532,2023-10-21,2023-10-20,2230,3,Southwest,310,BURGLARY,23,M,B,1800 W  24TH                         ST,34.0346,-118.3033
230616794,2023-10-21,2023-10-21,1405,6,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,H,WILCOX                       AV,34.0962,-118.3310
230219474,2023-10-21,2023-10-20,2205,2,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,M,H,600 S  ALVARADO                     ST,34.0595,-118.2749
230219480,2023-10-21,2023-10-21,445,2,Rampart,510,VEHICLE - STOLEN,0,X,X,900 S  ALBANY                       ST,34.0492,-118.2702
230616815,2023-10-21,2023-10-21,1000,6,Hollywood,664,"BUNCO, PETTY THEFT",21,F,W,1800 N  LAS PALMAS                   AV,34.1042,-118.3362
230413600,2023-10-21,2023-10-03,945,4,Hollenbeck,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,3400 E  4TH                          ST,34.0340,-118.1969
230716171,2023-10-21,2023-10-19,1605,7,Wilshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,M,W,6100    SAN VICENTE                  BL,34.0586,-118.3637
230219497,2023-10-21,2023-10-21,1130,2,Rampart,888,TRESPASSING,0,M,W,600 S  ALVARADO                     ST,34.0595,-118.2749
230318724,2023-10-21,2023-10-21,2100,3,Southwest,624,BATTERY - SIMPLE ASSAULT,23,M,H,900    EXPOSITION                   BL,34.0183,-118.2832
230413595,2023-10-21,2023-10-21,1515,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,INDIANA,34.0320,-118.1924
