crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
231717443,2023-11-05,2023-11-04,800,17,Devonshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,M,O,18500    MAYALL                       ST,34.2533,-118.5361
230916014,2023-11-05,2023-11-04,2300,9,Van Nuys,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,H,7300    VAN NUYS                     BL,34.2060,-118.4445
231115522,2023-11-05,2023-02-01,1200,11,Northeast,649,DOCUMENT FORGERY / STOLEN FELONY,64,F,W,1300 N  ALEXANDRIA                   AV,34.0953,-118.2983
231015501,2023-11-05,2023-11-05,45,10,West Valley,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,M,H,7000    GARDEN GROVE                 AV,34.1975,-118.5294
231517124,2023-11-05,2023-11-05,110,15,N Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,41,F,H,6700    COLDWATER CANYON             AV,34.1936,-118.4166
232116085,2023-11-05,2023-11-05,1945,21,Topanga,626,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,W,7600    CANOGA                       AV,34.2119,-118.6017
230916010,2023-11-05,2023-11-04,545,9,Van Nuys,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,B,7500    VAN NUYS                     BL,34.2069,-118.4488
230123382,2023-11-05,2023-11-05,1200,1,Central,510,VEHICLE - STOLEN,0,X,X,9TH                          ST,34.0444,-118.2593
230220374,2023-11-05,2023-11-05,220,2,Rampart,210,ROBBERY,42,M,H,2600 W  7TH                          ST,34.0628,-118.2811
230617438,2023-11-05,2023-11-05,1355,6,Hollywood,210,ROBBERY,0,X,X,7000    HOLLYWOOD                    BL,34.1015,-118.3417
230123390,2023-11-05,2023-11-04,1300,1,Central,354,THEFT OF IDENTITY,30,M,K,1000 S  OLIVE                        ST,34.0423,-118.2595
230123384,2023-11-05,2023-11-03,2130,1,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,1100 S  OLIVE                        ST,34.0409,-118.2609
230123397,2023-11-05,2023-11-04,2315,1,Central,352,PICKPOCKET,31,F,H,700    CHICK HEARN                  CT,34.0457,-118.2665
230901087,2023-11-05,2023-11-04,940,9,Van Nuys,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,36,F,H,6900    LENNOX                       AV,34.1958,-118.4455
230817313,2023-11-05,2023-11-05,100,8,West LA,888,TRESPASSING,0,X,X,12300    NEBRASKA                     AV,34.0347,-118.4598
230617436,2023-11-05,2023-11-03,1700,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,1300 N  CAHUENGA                     BL,34.0944,-118.3288
230123385,2023-11-05,2023-11-04,735,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),39,M,K,100 W  5TH                          ST,34.0467,-118.2485
230414122,2023-11-05,2023-11-05,20,4,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,19,M,H,2500    WABASH                       AV,34.0522,-118.2019
230319280,2023-11-05,2023-11-05,1930,3,Southwest,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,B,3700    CRENSHAW                     BL,34.0199,-118.3351
230617437,2023-11-05,2023-11-05,100,6,Hollywood,510,VEHICLE - STOLEN,0,X,X,1100    LILLIAN                      WY,34.0907,-118.3277
230617773,2023-11-05,2023-11-05,320,6,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),40,M,B,5500    HOLLYWOOD                    BL,34.1038,-118.3151
230717071,2023-11-05,2023-11-04,1145,7,Wilshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,F,W,400 S  CURSON                       AV,34.0675,-118.3536
230617502,2023-11-05,2023-11-05,1030,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,20,M,H,HOLLYWOOD                    BL,34.1016,-118.3281
230617504,2023-11-05,2023-11-05,1250,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,26,M,H,5500 W  SUNSET                       BL,34.0981,-118.3092
230816495,2023-11-05,2023-11-04,2300,8,West LA,510,VEHICLE - STOLEN,0,X,X,11700    LA GRANGE                    AV,34.0371,-118.4503
230123433,2023-11-05,2023-11-05,2133,1,Central,944,CONSPIRACY,0,X,X,9TH,34.0437,-118.2582
230123435,2023-11-05,2023-11-05,1900,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,700 S  BROADWAY,34.0452,-118.2533
230123418,2023-11-05,2023-11-05,1610,1,Central,624,BATTERY - SIMPLE ASSAULT,26,F,B,7TH                          ST,34.0449,-118.2528
230301018,2023-11-05,2023-11-05,1730,3,Southwest,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,F,H,3800    STEVELY                      AV,34.0183,-118.3536
230123443,2023-11-05,2023-11-05,1810,1,Central,625,OTHER ASSAULT,34,M,H,700 S  HILL                         ST,34.0462,-118.2585
230123423,2023-11-05,2023-10-24,1000,1,Central,310,BURGLARY,29,M,H,700 S  GRAND                        AV,34.0473,-118.2566
230901090,2023-11-05,2023-11-04,2300,9,Van Nuys,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,H,7300    VAN NUYS                     BL,34.2060,-118.4445
230617462,2023-11-05,2023-11-05,2000,6,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,H,HOLLYWOOD,34.1016,-118.3350
230716760,2023-11-05,2023-11-05,1830,7,Wilshire,330,BURGLARY FROM VEHICLE,33,F,W,S  SPAULDING                    AV,34.0618,-118.3579
230123398,2023-11-05,2023-11-05,800,1,Central,330,BURGLARY FROM VEHICLE,66,M,W,400 W  4TH                          ST,34.0502,-118.2504
230414127,2023-11-05,2023-10-25,1606,4,Hollenbeck,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,M,W,2500    GLEASON                      AV,34.0424,-118.2092
230221254,2023-11-20,2023-11-20,200,2,Rampart,624,BATTERY - SIMPLE ASSAULT,35,M,O,1200    WILSHIRE                     BL,34.0530,-118.2649
230319287,2023-11-05,2023-11-04,1800,3,Southwest,761,BRANDISH WEAPON,31,F,H,5000    OBAMA                        BL,34.0215,-118.3515
230901089,2023-11-05,2023-11-04,2000,9,Van Nuys,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,14000    RIVERSIDE                    DR,34.1576,-118.4387
230123427,2023-11-05,2023-11-04,1650,1,Central,310,BURGLARY,0,X,X,700    WALL                         ST,34.0420,-118.2485
230617478,2023-11-05,2023-11-05,20,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,46,M,H,7000    HOLLYWOOD                    BL,34.1015,-118.3417
230123386,2023-11-05,2023-10-25,730,1,Central,330,BURGLARY FROM VEHICLE,32,F,B,900 S  BROADWAY,34.0423,-118.2561
230414109,2023-11-05,2023-11-05,1,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,2500    PENNSYLVANIA                 AV,34.0440,-118.2080
230123512,2023-11-05,2023-11-05,2005,1,Central,900,VIOLATION OF COURT ORDER,48,F,W,100 W  4TH                          ST,34.0481,-118.2472
230123405,2023-11-05,2023-11-05,1105,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32,M,O,400 S  HOPE                         ST,34.0522,-118.2538
230123411,2023-11-05,2023-11-05,1550,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,300 S  BROADWAY,34.0510,-118.2480
230123393,2023-11-05,2023-11-05,11,1,Central,330,BURGLARY FROM VEHICLE,25,M,D,800 S  GRAND                        AV,34.0459,-118.2579
230816527,2023-11-05,2023-11-05,1205,8,West LA,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,O,10200    SANTA MONICA                 BL,34.0611,-118.4184
230617451,2023-11-05,2023-11-05,1800,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,49,M,H,6500    HOLLYWOOD                    BL,34.1034,-118.3325
230123513,2023-11-05,2023-04-06,1200,1,Central,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,M,O,200 E  6TH                          ST,34.0448,-118.2474
230816532,2023-11-05,2023-11-05,1030,8,West LA,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,X,1800 S  BUNDY                        DR,34.0364,-118.4584
230319344,2023-11-05,2023-11-04,830,3,Southwest,354,THEFT OF IDENTITY,35,F,B,3800    NORTON                       AV,34.0171,-118.3329
230816526,2023-11-05,2023-11-05,2000,8,West LA,624,BATTERY - SIMPLE ASSAULT,48,M,O,10200    SANTA MONICA                 BL,34.0611,-118.4184
230617454,2023-11-05,2023-11-05,1720,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,34,M,W,6600    SANTA MONICA                 BL,34.0907,-118.3332
230515455,2023-11-05,2023-11-05,515,5,Harbor,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,38,F,H,25000    BELLE PORTE                  AV,33.7978,-118.3012
230816520,2023-11-05,2023-11-05,2350,8,West LA,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,F,H,8500 W  OLYMPIC                      BL,34.0594,-118.3762
230123387,2023-11-05,2023-11-02,500,1,Central,330,BURGLARY FROM VEHICLE,32,F,B,900 S  BROADWAY,34.0423,-118.2561
230220418,2023-11-05,2023-11-04,2330,2,Rampart,520,VEHICLE - ATTEMPT STOLEN,28,F,W,1300    ALLISON                      AV,34.0730,-118.2513
230816537,2023-11-05,2023-11-01,2020,8,West LA,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",26,F,W,900 S  SHENANDOAH                   ST,34.0609,-118.3814
230123441,2023-11-05,2023-11-05,1400,1,Central,901,VIOLATION OF RESTRAINING ORDER,48,F,W,100 W  4TH                          ST,34.0481,-118.2472
230816517,2023-11-05,2023-11-05,300,8,West LA,510,VEHICLE - STOLEN,0,X,X,1700 S  ROBERTSON                    BL,34.0488,-118.3855
230220411,2023-11-05,2023-11-05,900,2,Rampart,626,INTIMATE PARTNER - SIMPLE ASSAULT,68,M,W,800 N  ALVARADO                     ST,34.0747,-118.2653
230123425,2023-11-05,2023-10-24,300,1,Central,310,BURGLARY,34,M,B,800 S  HOPE                         ST,34.0466,-118.2590
230125676,2023-11-05,2023-11-05,1,1,Central,330,BURGLARY FROM VEHICLE,26,M,H,800 S  OLIVE                        ST,34.0452,-118.2569
231717270,2023-11-06,2023-11-04,2000,17,Devonshire,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,18500    LOS ALIMOS                   ST,34.2656,-118.5373
230916035,2023-11-06,2023-11-05,1528,9,Van Nuys,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,B,VOSE                         ST,34.1985,-118.4488
231717738,2023-11-06,2023-11-05,2030,17,Devonshire,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),69,M,O,20600    LEMARSH                      ST,34.2555,-118.5819
232018689,2023-11-06,2023-11-06,1859,20,Olympic,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",37,F,H,600    IROLO                        ST,34.0608,-118.3008
231015565,2023-11-06,2023-11-06,1540,10,West Valley,761,BRANDISH WEAPON,40,M,H,5900    RESEDA                       BL,34.1769,-118.5384
231717446,2023-11-06,2023-11-04,1530,17,Devonshire,440,THEFT PLAIN - PETTY ($950 & UNDER),69,F,W,11100    BALBOA                       BL,34.2721,-118.5022
231222659,2023-11-06,2023-11-06,254,12,77th Street,903,CONTEMPT OF COURT,28,F,H,1600 W  59TH                         ST,33.9875,-118.3046
231115455,2023-11-06,2023-11-01,1200,11,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),0,M,H,4200    FOUNTAIN                     AV,34.0993,-118.2837
231015691,2023-11-06,2023-01-10,2350,10,West Valley,354,THEFT OF IDENTITY,35,M,W,04900    EDGERTON                     AV,34.1584,-118.4891
232116147,2023-11-06,2023-10-27,1720,21,Topanga,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",26,F,H,7300    DE SOTO                      AV,34.2029,-118.5885
231115442,2023-11-06,2023-11-06,520,11,Northeast,946,OTHER MISCELLANEOUS CRIME,0,X,X,1300 N  VERMONT                      AV,34.0956,-118.2918
230916062,2023-11-06,2023-11-02,1125,9,Van Nuys,354,THEFT OF IDENTITY,26,F,H,14500    VOSE                         ST,34.1985,-118.4488
231916245,2023-11-06,2023-10-30,1230,19,Mission,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,O,9900    BEACHY                       AV,34.2506,-118.4409
231517118,2023-11-06,2023-11-05,1730,15,N Hollywood,510,VEHICLE - STOLEN,0,X,X,5200    RIVERTON                     AV,34.1649,-118.3654
231917370,2023-11-06,2023-11-06,600,19,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",27,M,H,8800    NOBLE                        AV,34.2303,-118.4611
232017645,2023-11-06,2023-11-06,700,20,Olympic,121,"RAPE, FORCIBLE",47,F,B,4TH,34.0670,-118.2899
231717257,2023-11-06,2023-11-06,730,17,Devonshire,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,18500    DEVONSHIRE                   ST,34.2609,-118.5346
231222639,2023-11-06,2023-11-04,430,12,77th Street,520,VEHICLE - ATTEMPT STOLEN,54,F,H,1500 W  60TH                         ST,33.9859,-118.3024
231419833,2023-11-06,2023-11-06,105,14,Pacific,510,VEHICLE - STOLEN,0,X,X,4100    GLENCOE                      AV,33.9904,-118.4433
231222630,2023-11-06,2023-11-06,1220,12,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,M,B,5500    CIMARRON                     ST,33.9921,-118.3160
231419888,2023-11-06,2023-11-06,1625,14,Pacific,510,VEHICLE - STOLEN,0,X,X,800    WASHINGTON                   BL,33.9878,-118.4528
230319318,2023-11-06,2023-10-11,1300,3,Southwest,510,VEHICLE - STOLEN,0,X,X,3600 W  MARTIN LUTHER KING JR        BL,34.0109,-118.3351
230916036,2023-11-06,2023-11-05,1100,9,Van Nuys,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,14300    VALERIO                      ST,34.2048,-118.4444
231517150,2023-11-06,2023-11-04,1400,15,N Hollywood,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",28,F,W,10800    FRUITLAND                    DR,34.1383,-118.3662
231115411,2023-11-06,2023-11-04,450,11,Northeast,310,BURGLARY,0,X,X,4700    HOLLYWOOD                    BL,34.1012,-118.2918
231015572,2023-11-06,2023-11-06,1300,10,West Valley,624,BATTERY - SIMPLE ASSAULT,55,F,O,15400    VENTURA                      BL,34.1599,-118.4766
231115439,2023-11-06,2023-11-05,1750,11,Northeast,330,BURGLARY FROM VEHICLE,33,M,W,1300    SUTHERLAND                   ST,34.0751,-118.2535
231115406,2023-11-06,2023-11-04,2300,11,Northeast,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35,F,H,1600    TALMADGE                     ST,34.1000,-118.2830
230916034,2023-11-06,2023-11-05,130,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,66,M,H,13300    VANOWEN                      ST,34.1940,-118.4225
231015590,2023-11-06,2023-11-06,1815,10,West Valley,624,BATTERY - SIMPLE ASSAULT,80,F,H,7200    CAPPS                        AV,34.2012,-118.5397
231015692,2023-11-06,2023-11-02,1700,10,West Valley,354,THEFT OF IDENTITY,53,F,W,18400    COLLINS                      ST,34.1749,-118.5337
231517147,2023-11-06,2023-11-05,1900,15,N Hollywood,510,VEHICLE - STOLEN,0,X,X,4800    DENNY                        AV,34.1583,-118.3648
231517153,2023-11-06,2023-11-05,2300,15,N Hollywood,860,BATTERY WITH SEXUAL CONTACT,11,F,B,11000    OTSEGO                       ST,34.1630,-118.3706
232017695,2023-11-06,2023-01-17,1639,20,Olympic,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),46,M,B,200 S  WESTMORELAND                 AV,34.0704,-118.2877
231222644,2023-11-06,2023-11-06,1350,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,F,H,1800 W  51ST                         ST,33.9970,-118.3114
231419836,2023-11-06,2023-11-06,210,14,Pacific,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,X,X,4100    GLENCOE                      AV,33.9904,-118.4433
232116121,2023-11-06,2023-11-06,1350,21,Topanga,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,M,X,7100    DE SOTO                      AV,34.1992,-118.5884
231015588,2023-11-06,2023-11-06,1825,10,West Valley,888,TRESPASSING,34,M,W,5100    WOODLEY                      AV,34.1613,-118.4917
231717359,2023-11-06,2023-11-03,1100,17,Devonshire,310,BURGLARY,34,F,W,20600    LASSEN                       ST,34.2500,-118.5820
232116119,2023-11-06,2023-11-05,1400,21,Topanga,510,VEHICLE - STOLEN,0,X,X,21800    SHERMAN                      WY,34.2047,-118.5994
232017672,2023-11-06,2023-11-03,1500,20,Olympic,761,BRANDISH WEAPON,36,M,H,LA FAYETTE PARK,34.0614,-118.2833
232017670,2023-11-06,2023-11-06,1300,20,Olympic,624,BATTERY - SIMPLE ASSAULT,20,M,H,700 S  MARIPOSA                     AV,34.0598,-118.2987
230916039,2023-11-06,2023-11-06,950,9,Van Nuys,860,BATTERY WITH SEXUAL CONTACT,17,F,H,6100    COLDWATER CANYON             AV,34.1781,-118.4179
230916029,2023-11-06,2023-11-04,2200,9,Van Nuys,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,7300    VAN NUYS                     BL,34.2060,-118.4445
231916250,2023-11-06,2023-11-05,1230,19,Mission,354,THEFT OF IDENTITY,19,F,H,14600    LIMEDALE                     ST,34.2445,-118.4517
231115446,2023-11-06,2023-10-29,330,11,Northeast,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,5000 W  SUNSET                       BL,34.0981,-118.2983
232017671,2023-11-06,2023-11-06,1400,20,Olympic,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,H,300 S  ALEXANDRIA                   AV,34.0690,-118.2979
230916048,2023-11-06,2023-10-30,1030,9,Van Nuys,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,M,H,7300    LENNOX                       AV,34.2030,-118.4458
231717282,2023-11-07,2023-11-06,1900,17,Devonshire,330,BURGLARY FROM VEHICLE,41,F,H,10200    INDEPENDENCE                 AV,34.2554,-118.5907
231115415,2023-11-06,2023-11-05,1310,11,Northeast,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,4900    FOUNTAIN                     AV,34.0986,-118.2962
230916038,2023-11-06,2023-11-03,1200,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,38,M,O,14600    VANOWEN                      ST,34.1976,-118.4574
231517397,2023-11-06,2023-11-06,200,15,N Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",74,F,B,LANKERSHIM                   BL,34.1689,-118.3771
231115468,2023-11-06,2023-11-06,1500,11,Northeast,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,1400    LEMOYNE                      ST,34.0789,-118.2586
230916052,2023-11-06,2023-11-05,1215,9,Van Nuys,330,BURGLARY FROM VEHICLE,37,F,W,14200    MAGNOLIA                     BL,34.1649,-118.4424
231115404,2023-11-06,2023-11-05,1130,11,Northeast,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),48,F,H,4700 W  SUNSET                       BL,34.0982,-118.2918
230123488,2023-11-06,2023-11-06,1555,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,F,H,600 W  9TH                          ST,34.0451,-118.2604
230414160,2023-11-06,2023-11-05,2000,4,Hollenbeck,520,VEHICLE - ATTEMPT STOLEN,30,M,H,600 N  BOYLE                        AV,34.0521,-118.2170
230617495,2023-11-06,2023-11-06,927,6,Hollywood,210,ROBBERY,0,X,X,5500 W  SUNSET                       BL,34.1000,-118.3113
230617449,2023-11-06,2023-11-06,230,6,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,F,O,7000    HOLLYWOOD                    BL,34.1015,-118.3417
230617533,2023-11-06,2023-11-05,1830,6,Hollywood,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,F,W,1400 N  MCCADDEN                     PL,34.0962,-118.3381
230123485,2023-11-06,2023-11-05,2000,1,Central,330,BURGLARY FROM VEHICLE,78,M,W,200 S  SPRING                       ST,34.0517,-118.2474
230220440,2023-11-06,2023-11-04,2200,2,Rampart,510,VEHICLE - STOLEN,0,X,X,1600 W  SUNSET                       BL,34.0768,-118.2574
